site,block,plot,subplot,year,cover,taxa,,,,
UCR,1,3,A,2026,17,Bromus_diandrus,,,,
UCR,1,4,A,2026,5,BARE,,,,
UCR,1,4,A,2026,1,LITTER,,,,
UCR,1,4,A,2026,17,Brassica_tournefortii,,,,
UCR,1,4,A,2026,78,Bromus_diandrus,,,,
UCR,1,4,A,2026,2,Amsinckia_menziesii,,,,
UCR,1,4,A,2026,4,Bromus_madritensis,,,,
UCR,1,5,A,2026,65,BARE,,,,
UCR,1,5,A,2026,0,LITTER,,,,
UCR,1,5,A,2026,23,Brassica_tournefortii,,,,
UCR,1,5,A,2026,12,Amsinckia_menziesii,,,,
UCR,1,5,A,2026,3,Bromus_diandrus,,,,
UCR,1,5,A,2026,2,Bromus_madritensis,,,,
UCR,1,5,A,2026,1,Calandrinia_menziesii,,,,
UCR,2,6,A,2026,50,Amsinckia_menziesii,,,,
UCR,2,6,A,2026,3,Brassica_tournefortii,,,,
UCR,2,6,A,2026,13,Bromus_madritensis,,,,
UCR,2,6,A,2026,1,Bromus_diandrus,,,,
UCR,2,6,A,2026,1,Cryptantha_intermedia,,,,
UCR,2,6,A,2026,35,BARE,,,,
UCR,2,6,A,2026,0,LITTER,,,,
UCR,2,7,A,2026,0,BARE,,,,
UCR,2,7,A,2026,1,LITTER,,,,
UCR,2,7,A,2026,8,Amsinckia_menziesii,,,,
UCR,2,7,A,2026,8,Brassica_tournefortii,,,,
UCR,2,7,A,2026,81,Bromus_madritensis,,,,
UCR,2,7,A,2026,4,Bromus_diandrus,,,,
UCR,2,8,A,2026,18,BARE,,,,
UCR,2,8,A,2026,2,LITTER,,,,
UCR,2,8,A,2026,22,Brassica_tournefortii,,,,
UCR,2,8,A,2026,11,Amsinckia_menziesii,,,,
UCR,2,8,A,2026,53,Bromus_madritensis,,,,
UCR,2,9,A,2026,50,BARE,,,,
UCR,2,9,A,2026,1,LITTER,,,,
UCR,2,9,A,2026,38,Amsinckia_menziesii,,,,
UCR,2,9,A,2026,5,Brassica_tournefortii,,,,
UCR,2,9,A,2026,4,Cryptantha_intermedia,,,,
UCR,2,9,A,2026,8,Bromus_diandrus,,,,
UCR,2,9,A,2026,3,Bromus_madritensis,,,,
UCR,2,10,A,2026,5,BARE,,,,
UCR,2,10,A,2026,30,LITTER,,,,
UCR,2,10,A,2026,70,Brassica_tournefortii,,,,
UCR,2,10,A,2026,6,Bromus_madritensis,,,,
UCR,2,10,A,2026,9,Bromus_diandrus,,,,
UCR,3,11,A,2026,2,BARE,,,,
UCR,3,11,A,2026,60,LITTER,,,,
UCR,3,11,A,2026,45,Amsinckia_menziesii,,,,
UCR,3,11,A,2026,9,Brassica_tournefortii,,,,
UCR,3,11,A,2026,12,Bromus_diandrus,,,,
UCR,3,11,A,2026,1,Bromus_madritensis,,,,
UCR,3,11,A,2026,1,Sisymbrium_altissimum,,,,
UCR,3,11,A,2026,1,Hordeum_murinum,,,,
UCR,3,12,A,2026,11,BARE,,,,
UCR,3,12,A,2026,2,LITTER,,,,
UCR,3,12,A,2026,39,Brassica_tournefortii,,,,
UCR,3,12,A,2026,40,Bromus_madritensis,,,,
UCR,3,12,A,2026,4,Amsinckia_menziesii,,,,
UCR,3,12,A,2026,5,Bromus_diandrus,,,,
UCR,3,12,A,2026,1,Sisymbrium_altissimum,,,,
UCR,3,13,A,2026,55,LITTER,,,,
UCR,3,13,A,2026,33,Brassica_tournefortii,,,,
UCR,3,13,A,2026,28,Amsinckia_menziesii,,,,
UCR,3,13,A,2026,10,Bromus_madritensis,,,,
UCR,3,14,A,2026,44,Brassica_tournefortii,,,,
UCR,3,14,A,2026,4,Amsinckia_menziesii,,,,
UCR,3,14,A,2026,11,Bromus_madritensis,,,,
UCR,3,14,A,2026,28,Bromus_diandrus,,,,
UCR,3,14,A,2026,4,BARE,,,,
UCR,3,14,A,2026,11,LITTER,,,,
UCR,3,15,A,2026,1,BARE,,,,
UCR,3,15,A,2026,3,LITTER,,,,
UCR,3,15,A,2026,29,Brassica_tournefortii,,,,
UCR,3,15,A,2026,2,Bromus_madritensis,,,,
UCR,3,15,A,2026,73,Bromus_diandrus,,,,
UCR,3,15,A,2026,3,Amsinckia_menziesii,,,,
UCR,1,1,A,2026,NA,Cryptantha_intermedia,,,,
UCR,1,1,A,2026,NA,Sisymbrium_altissimum,,,,
UCR,1,1,A,2026,NA,Avena_fatua,,,,
UCR,1,1,A,2026,NA,Lactuca_serriola,,,,
UCR,1,2,A,2026,NA,Sisymbrium_altissimum,,,,
UCR,1,3,A,2026,NA,Cryptantha_intermedia,,,,
UCR,1,4,A,2026,NA,Cryptantha_intermedia,,,,
UCR,1,4,A,2026,NA,Avena_fatua,,,,
UCR,1,4,A,2026,NA,Phacelia_distans,,,,
UCR,1,5,A,2026,NA,Cryptantha_intermedia,,,,
UCR,1,5,A,2026,NA,Calandrinia_menziesii,,,,
UCR,2,6,A,2026,NA,Avena_fatua,,,,
UCR,2,7,A,2026,NA,Cryptantha_intermedia,,,,
UCR,2,7,A,2026,NA,Erodium_cicutarium,,,,
UCR,2,7,A,2026,NA,Avena_fatua,,,,
UCR,2,8,A,2026,NA,Cryptantha_intermedia,,,,
UCR,2,8,A,2026,NA,Bromus_diandrus,,,,
UCR,2,8,A,2026,NA,Erodium_cicutarium,,,,
UCR,2,10,A,2026,NA,Amsinckia_menziesii,,,,
UCR,2,10,A,2026,NA,Hordeum_murinum,,,,
UCR,2,10,A,2026,NA,Cryptantha_intermedia,,,,
UCR,3,11,A,2026,NA,Avena_fatua,,,,
UCR,3,11,A,2026,NA,Cryptantha_intermedia,,,,
UCR,3,12,A,2026,NA,Cryptantha_intermedia,,,,
UCR,3,12,A,2026,NA,Phacelia_distans,,,,
UCR,3,12,A,2026,NA,Avena_fatua,,,,
UCR,3,13,A,2026,NA,Bromus_diandrus,,,,
UCR,3,13,A,2026,NA,Erodium_cicutarium,,,,
UCR,3,13,A,2026,NA,Avena_fatua,,,,
UCR,3,13,A,2026,NA,Cryptantha_intermedia,,,,
UCR,3,13,A,2026,NA,Hordeum_murinum,,,,
UCR,3,15,A,2026,NA,Phacelia_distans,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
